yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
1871,BS1,NA,barnero01,31,,31,31,0,0,0,16,0,15,0,0,0,0,,,
1871,BS1,NA,barrofr01,18,,18,18,0,0,0,1,0,0,13,0,4,17,,,
1871,BS1,NA,birdsda01,29,,29,29,0,7,0,0,0,0,0,0,27,27,,,
1871,BS1,NA,conefr01,19,,19,19,0,0,0,0,0,0,18,0,1,18,,,
1871,BS1,NA,gouldch01,31,,31,31,0,0,30,0,0,0,0,0,1,1,,,
1871,BS1,NA,jackssa01,16,,16,16,0,0,0,14,0,1,0,1,0,1,,,
1871,BS1,NA,mcveyca01,29,,29,29,0,29,0,0,1,0,0,0,5,5,,,
1871,BS1,NA,schafha01,31,,31,31,0,0,0,0,31,0,0,0,0,0,,,
1871,BS1,NA,spaldal01,31,,31,31,31,0,0,0,0,0,0,9,0,9,,,
1871,BS1,NA,wrighge01,16,,16,16,0,0,1,0,0,15,0,0,0,0,,,
1871,BS1,NA,wrighha01,31,,31,31,9,0,0,0,0,1,0,30,0,30,,,
1871,CH1,NA,brannmi01,3,,3,3,0,0,0,0,3,0,0,0,0,0,,,
1871,CH1,NA,duffyed01,26,,26,26,0,0,0,0,1,26,0,0,0,0,,,
1871,CH1,NA,foleyto01,18,,18,18,0,4,0,0,1,0,2,9,5,16,,,
1871,CH1,NA,hodesch01,28,,28,28,0,20,0,0,10,1,0,3,1,4,,,
1871,CH1,NA,kingma01,20,,20,20,0,9,0,0,1,3,1,10,0,11,,,
1871,CH1,NA,mcatebu01,26,,26,26,0,0,26,0,0,0,0,0,0,0,,,
1871,CH1,NA,pinkhed01,24,,24,24,3,0,0,0,18,0,0,0,8,8,,,
1871,CH1,NA,simmojo01,27,,27,27,0,0,2,0,0,0,0,9,17,25,,,
1871,CH1,NA,treacfr01,25,,25,25,0,0,0,0,0,0,25,0,0,25,,,
1871,CH1,NA,woodji01,28,,28,28,0,0,0,28,0,0,0,0,0,0,,,
1871,CH1,NA,zettlge01,28,,28,28,28,0,0,0,0,0,0,0,3,3,,,
1871,CL1,NA,allisar01,29,,29,29,0,0,0,2,0,0,0,29,0,29,,,
1871,CL1,NA,bassjo01,22,,22,22,0,1,0,0,0,22,0,0,0,0,,,
1871,CL1,NA,battijo01,1,,1,1,0,0,0,0,0,0,0,0,1,1,,,
1871,CL1,NA,carleji01,29,,29,29,0,0,29,0,0,0,0,0,0,0,,,
1871,CL1,NA,ewellge01,1,,1,1,0,0,0,0,0,0,0,0,1,1,,,
